,V1,V2,Displacement,
1,5.599999647,-0.96999949,0.00000000,0.00000000
2,5.600000537,-0.96999945,0.00000004,0.00000089
3,5.599999414,-0.97000040,-0.00000090,-0.00000023
4,5.599999465,-0.97000022,-0.00000072,-0.00000018
5,5.600000103,-0.96999934,0.00000016,0.00000046
6,5.600000245,-0.97000058,-0.00000108,0.00000060
7,5.599999617,-0.97000054,-0.00000105,-0.00000003
8,5.600000103,-0.97000074,-0.00000124,0.00000046
9,5.600000981,-0.97000011,-0.00000062,0.00000133
10,5.60000009,-0.97000045,-0.00000095,0.00000044
,5.60000002,-0.97000013,,
,, ,-6.374601559389070E-07,3.736420270072930E-06
,,,4.063554504096560E-13,1.396083643461180E-11
